"Reference","Value","Qty","Pin Count"
"BAT1","Vehicle_Battery","1",""
"BMS1","DALY Li-Ion 6S 20A BMS","1",""
"BT1,BT2,BT3,BT4,BT5,BT6,BT7,BT8,BT9,BT10,BT11,BT12","INR_18650/25P","12",""
"CN1,CN2,CN3,CN4,CN5,CN6,CN7,CN8,CN9,CN10,CN11,CN12,CN13,CN14,CN15,CN16,CN17,CN18,CN19,CN20,CN21,CN22,CN23,CN24,CN25,CN26,CN27,CN28,CN29,CN30,CN31,CN32,CN33,CN34,CN35,CN36,CN37,CN38,CN39,CN40,CN41,CN42,CN43,CN44,CN45,CN46,CN47,CN48,CN49,CN50,CN51,CN52,CN53,CN54,CN55,CN56","Connector_Single","56",""
"CN1,CN3,CN4,CN5,CN6,CN7,CN9,CN11,CN35,CN54","Hy-Lok (M)","10","2"
"CN2,CN8,CN10,CN12","Hy-Lok (F)","4","2"
"CN13,CN15","Mini Fit (M)","2","2"
"CN14,CN26,CN29,CN47","Mini Fit (F)","4","2"
"CN16,CN17,CN18,CN19,CN20","Mini Fit (M)","5","4"
"CN21,CN22,CN23,CN24,CN25,CN31,CN32,CN37","Mini Fit (F)","8","4"
"CN38","Hy-Lok (M)","1","3"
"CN40,CN43,CN56","Micro Fit (F)","3","4"
"CN45,CN51","Micro Fit (F)","2","2"
"CN52","MODU (F)","1","4"
"F1","15A Automotive Fuse","1",""
"HNK1","Vehicle_Horn","1",""
"J1","Balancing_Cable","1",""
"JLM1","Shell_Joulemeter","1",""
"MOD1","Telemetry_Module","1",""
"MOD2","Steering_Wheel_Module","1",""
"MOD3","Motor_Controller_Module","1",""
"MOD4","Coupling_Controller_Module","1",""
"MOT1","Wheel_Motor","1",""
"MOT2","Coupling_Motor","1",""
"SEN1","Throttle_Accelerator","1",""
"SEN2","Wheel_Speed_Sensor","1",""
"SWT1","External_Emergency_Switch","1",""
"SWT2","Internal_Emergency_Switch","1",""
"SWT3","Horn_Switch","1",""
"T1,T2,T3,T4","Spade (8mm)","4",""
"T5,T6","Spade (6.3mm)","2",""
